time,ax,ay,az,aT
0.861000,-0.0234,-0.0455,0.1160,0.127
0.866000,-0.0108,-0.0803,-0.1429,0.164
0.871000,-0.0001,-0.1092,0.1790,0.210
0.875000,0.0442,-0.0736,0.0611,0.105
0.881000,0.1144,-0.0300,-0.0401,0.125
0.885000,0.0811,0.0003,0.0222,0.084
0.890000,0.0420,-0.0241,0.0997,0.111
0.895000,0.0214,-0.0531,-0.0531,0.078
0.901000,0.0020,-0.0776,0.1200,0.143
0.906000,-0.0544,-0.0973,0.0319,0.116
0.910000,0.0088,-0.1026,-0.0978,0.142
0.916000,-0.0320,-0.0648,0.2391,0.250
0.920000,-0.0517,-0.0642,0.0433,0.093
0.925000,0.0670,0.0121,-0.0898,0.113
0.930000,-0.0455,-0.0031,0.1144,0.123
0.935000,0.0330,-0.0586,0.1011,0.121
0.942000,-0.0132,-0.0252,-0.0197,0.035
0.945000,-0.0029,-0.0008,0.0854,0.085
0.951000,0.0180,0.0238,-0.0100,0.031
0.955000,0.0531,-0.0166,-0.0040,0.056
0.961000,-0.0110,-0.0179,0.0747,0.078
0.964000,0.0173,-0.0255,0.0910,0.096
0.970000,0.0382,0.0235,-0.0663,0.080
0.975000,0.0588,-0.0011,0.1061,0.121
0.980000,-0.0173,0.0086,0.0918,0.094
0.988000,-0.0360,0.0161,-0.0587,0.071
0.990000,0.0298,0.0083,-0.0210,0.037
0.994000,0.0298,-0.0043,0.0369,0.048
0.999000,0.0445,0.0344,-0.0163,0.059
1.005000,0.0912,0.0249,0.0926,0.132
1.009000,-0.0092,0.0246,0.0041,0.027
1.014000,0.0177,0.0477,0.0407,0.065
1.019000,-0.0351,0.0121,0.0445,0.058
1.024000,-0.0560,-0.0109,0.0923,0.109
1.029000,-0.0272,-0.0267,0.0565,0.068
1.034000,-0.0027,-0.0255,-0.0822,0.086
1.039000,-0.0143,0.0101,0.0631,0.065
1.045000,0.0247,0.0511,0.0679,0.088
1.049000,0.0287,0.0013,0.0391,0.048
1.054000,0.0320,-0.0225,-0.0044,0.039
1.058000,0.0064,-0.0955,0.1065,0.143
1.063000,-0.0045,-0.0785,0.0756,0.109
1.069000,0.0137,-0.0598,-0.0381,0.072
1.074000,0.0105,-0.0680,0.0250,0.073
1.079000,0.0288,-0.0444,0.0191,0.056
1.085000,0.0475,-0.0418,0.0430,0.077
1.088000,0.0393,-0.0239,0.0877,0.099
1.093000,0.0541,-0.0280,0.0696,0.092
1.098000,0.0412,-0.0156,-0.0298,0.053
1.104000,0.0288,-0.0069,0.0621,0.069
